,author,content,score,time
61,Susan Zimmer,"The logical solution is to make more masks to keep up with demand. Why aren't we doing that? In Canada, there's already a shortage of masks and there are only a handful of cases there. If you check medical supply stores, Walmarts, Shoppers Drug Marts and London Drugs, 3M respirator masks are all gone. The shelves are empty. If we can't keep up now, how are we going to keep up when it gets worse?",0,2020-02-20T19:04:26.000Z
62,F U,I am sure this is all because of the gays...or maybe apartheid.,0,2020-02-20T18:55:44.000Z
63,andy oak,Yeah great right  off the boat and into a taxi...lol . Is this  a joke?  Stupid  idiots,0,2020-02-20T18:38:09.000Z
64,13BRAVO REDLEG,The cucks in Canadastan got problems....😝,1,2020-02-20T18:14:33.000Z
65,Rachel Melhado,Send in the military,2,2020-02-20T17:49:45.000Z
66,19lance20,"MORE OIL, MORE CANCER, WORTH THE MONEY STILL?",0,2020-02-20T17:49:28.000Z
67,19lance20,W.H.O. MAKING SURE THEIR BILLION DOLLAR BIO WEAPON GETS TO ITS DESTINATION TO SPREAD WHILE ASSURING THE PUBLIC THAT ALL OPERATIONS ARE UNDER CONTROL WHICH THEY ARE GOING AS PLANNED TO AGENDA 21 EUGENICS.,0,2020-02-20T17:48:48.000Z
68,19lance20,"THIS IS NOT JUST SOME INDIAN OR ECONOMIC ONLY ISSUE, THIS EFFECTS EVERYTHING PIPELINE MEANS MORE FRACING TO PRODUCE THE STUFF MEANS MORE DESTABILIZATION OF THE NORTH AMERICAN CRATON . BUT LETT THEM BLAB ABOUT ECONOMIC PAINS",1,2020-02-20T17:44:21.000Z
69,19lance20,TAR SANDS PUTS OUT MORE POLLUTION THAN ALL CANADIAN CARS COMBINED,0,2020-02-20T17:43:08.000Z
70,19lance20,75 PERCENT OF CANADIAN CHILDREN HAVE ASTHMA,0,2020-02-20T17:42:46.000Z
71,pitikuss,weeeeel  socialsits in Canada are running scare....,2,2020-02-20T17:41:22.000Z
72,M Hu,All the asks were bought up by the Chinese speculators.,0,2020-02-20T17:17:30.000Z
73,Alex K,we are letting 15 chugs stop our critical supplies while our government should be stocking in prep for the virus that is about to rip through our population. One patriot with a gun could resolve this problem. Our government is ineffective and corrupt. And none of you will do anything about it. Our lack self awareness and liberal dilutions will be this country's downfall. 20% of people infected will die without hospital access. famine will be worse.,2,2020-02-20T17:05:40.000Z
74,The Truth about Africa hurts,"“Hereditary Chiefs”, whisky and glass beads used to work.",0,2020-02-20T17:05:06.000Z
75,M Hu,The nations legal tribal leadership sold the rights to go through the land. These Chiefs are outlaws,3,2020-02-20T17:04:44.000Z
76,MUHAMMAD BABA,"I think its really unwise to let those people in that ship if they don't mean to kill them, this is because the ventilation is connected and the exchange of it is what is really causing the rapid transmission.",0,2020-02-20T16:42:23.000Z
77,"MissBot2U, PhD",Why have we all NOT learned from SARS years ago?!,2,2020-02-20T16:23:22.000Z
78,666,39,0,2020-02-20T16:12:20.000Z
79,"MissBot2U, PhD",Unbelievable that they are allowing the blockades to crash their entire country. Very sad. How can anyone respect a bunch law breaking thugs at this point.,0,2020-02-20T16:09:58.000Z
80,XpetraXpazlX,These people on the ships should have been taken to hospitals & be quarantined there.,3,2020-02-20T15:22:15.000Z
